timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684944007274,911,POST Signup,200,OK,Thread Group 01 1-1,text,true,,439,388,108,108,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_3466_24050900@gmail.com&password=Qr!a123abcd&is_company=false,911,0,742
1684944008268,2063,POST UploadFile,200,OK,Thread Group 01 1-1,text,true,,175,832829,200,200,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,2063,0,0
1684944010333,3039,GET GetProcessedDataList,200,OK,Thread Group 01 1-1,text,true,,204267,298,200,200,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,2894,0,0
1684944013375,85,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-1,text,true,,5998,356,200,200,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28514,85,0,0
1684944013465,400,POST Signup,200,OK,Thread Group 01 1-2,text,true,,439,418,199,199,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_6904_24050900@gmail.com&password=Qr!a123abcd&is_company=false,400,0,248
1684944013867,2709,POST UploadFile,200,OK,Thread Group 01 1-2,text,true,,175,832829,199,199,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,2709,0,0
1684944016578,2979,GET GetProcessedDataList,200,OK,Thread Group 01 1-2,text,true,,204267,298,199,199,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,2833,0,0
1684944019561,87,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-2,text,true,,5998,356,199,199,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28515,87,0,0
1684944019652,395,POST Signup,200,OK,Thread Group 01 1-5,text,true,,439,418,198,198,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_8689_24050900@gmail.com&password=Qr!a123abcd&is_company=false,395,0,245
1684944020049,2263,POST UploadFile,200,OK,Thread Group 01 1-5,text,true,,175,832841,198,198,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,2262,0,0
1684944022313,2998,GET GetProcessedDataList,200,OK,Thread Group 01 1-5,text,true,,204267,298,198,198,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,2852,0,0
1684944025313,85,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-5,text,true,,5998,356,198,198,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28516,85,0,0
