timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684943211409,1111,POST Signup,200,OK,Thread Group 01 1-3,text,true,,439,388,100,100,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_3119_24050846@gmail.com&password=Qr!a123abcd&is_company=false,1111,0,895
1684943212598,2676,POST UploadFile,200,OK,Thread Group 01 1-3,text,true,,175,832823,100,100,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,2676,0,0
1684943215277,3190,GET GetProcessedDataList,200,OK,Thread Group 01 1-3,text,true,,204267,298,100,100,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,3044,0,0
1684943218468,90,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-3,text,true,,5998,356,100,100,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28414,90,0,0
1684943218562,402,POST Signup,200,OK,Thread Group 01 1-2,text,true,,439,418,99,99,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_3957_24050846@gmail.com&password=Qr!a123abcd&is_company=false,402,0,250
1684943218967,3474,POST UploadFile,200,OK,Thread Group 01 1-2,text,true,,175,832847,99,99,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,3474,0,0
1684943222446,2333,GET GetProcessedDataList,200,OK,Thread Group 01 1-2,text,true,,204267,298,99,99,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,2184,0,0
1684943224782,86,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-2,text,true,,5998,356,99,99,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28415,86,0,0
1684943224873,391,POST Signup,200,OK,Thread Group 01 1-4,text,true,,439,418,98,98,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_7902_24050847@gmail.com&password=Qr!a123abcd&is_company=false,391,0,238
1684943225267,2397,POST UploadFile,200,OK,Thread Group 01 1-4,text,true,,175,832853,98,98,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,2397,0,0
1684943227665,2776,GET GetProcessedDataList,200,OK,Thread Group 01 1-4,text,true,,204267,298,98,98,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,2629,0,0
1684943230444,83,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-4,text,true,,5998,356,98,98,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28416,83,0,0
1684943230531,383,POST Signup,200,OK,Thread Group 01 1-1,text,true,,439,418,97,97,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/SignUp?first_name=Auto&last_name=Test&user_name=AUTOMATION_2201_24050847@gmail.com&password=Qr!a123abcd&is_company=false,383,0,232
1684943230916,2175,POST UploadFile,200,OK,Thread Group 01 1-1,text,true,,175,832835,97,97,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/UploadMultipleFiles?meeting_type_id=7,2175,0,0
1684943233094,2465,GET GetProcessedDataList,200,OK,Thread Group 01 1-1,text,true,,204267,298,97,97,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataList,2321,0,0
1684943235561,86,GET GetProcessedDataListForParticipants,200,OK,Thread Group 01 1-1,text,true,,5998,356,97,97,https://qa-mirro-api.bluerock-8d9edcb3.canadacentral.azurecontainerapps.io/GetProcessedDataListForParticipants?metrics_processing_events_history_id=28417,86,0,0
